,song_id,name_song,artist_id,name_artist,listOfNames2_artists,listOfNames_songs2,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
8176,8176,Naar Fabeltjesland,3602,T.U.T.F.,['T.U.T.F.'],['Naar Fabeltjesland'],[None],,,,[None],,
7727,7727,Nocturne,3370,T99,['T99'],['Nocturne'],[None],,,,[None],,
8595,8595,Shake That Ass,3781,Tapp,['Tapp'],['Shake That Ass'],[None],,,,[None],,
3318,3318,Upside Down,1255,Teach In,['Teach In'],['Upside Down'],[None],,,,[None],,
3452,3452,A Ride In The Night,1255,Teach In,['Teach In'],['A Ride In The Night'],[None],,,,[None],,
3547,3547,See The Sun,1255,Teach In,['Teach In'],['See The Sun'],[None],,,,[None],,
8137,8137,I Will Always Love You,3582,Tears N' Joy,"[""Tears N' Joy""]",['I Will Always Love You'],[None],,,,[None],,
254,254,'n Glaasje Madera M' Dear?,150,Ted De Braak,['Ted De Braak'],"[""'n Glaasje Madera M' Dear?""]",[None],,,,[None],,
1797,1797,Walk The World Away,920,Teddy Brown,['Teddy Brown'],['Walk The World Away'],[None],,,,[None],,
9716,9716,"Teletubbies Zeggen ""A-Oh!""",4315,Teletubbies,['Teletubbies'],"['Teletubbies Zeggen ""A-Oh!""', 'Teletubbies Zeggen ""A']",[None],,,,[None],,
5887,5887,Japanese Lovesong,2628,Ten Sharp,"['Ten Sharp', 'T', ' Sharp']",['Japanese Lovesong'],[None],,,,[None],,
7632,7632,Ain't My Beating Heart,2628,Ten Sharp,"['Ten Sharp', 'T', ' Sharp']","[""Ain't My Beating Heart""]",[None],,,,[None],,
2091,2091,Sea Side Shuffle,1044,Terry Dactyl and The Dinosaurs,"['Terry Dactyl and The Dinosaurs', 'Terry Dactyl ', ' The Dinosaurs']",['Sea Side Shuffle'],[None],,,,[None],,
3708,3708,Come Away,1712,Terry Dactyl and The Dinosaurus with Jona Lewie,"['Terry Dactyl and The Dinosaurus with Jona Lewie', 'Terry Dactyl and The Dinosaurus ', ' Jona Lewie', 'Terry Dactyl ', ' The Dinosaurus with Jona Lewie']",['Come Away'],[None],,,,[None],,
2603,2603,If You Go Away,1208,Terry Jacks,['Terry Jacks'],['If You Go Away'],[None],,,,[None],,
3788,3788,Arabian Affair,1750,The Abdul Hassan Orchestra,['The Abdul Hassan Orchestra'],['Arabian Affair'],[None],,,,[None],,
4828,4828,Street Music,2200,The Bang Gang,['The Bang Gang'],['Street Music'],[None],,,,[None],,
4956,4956,The Beatles' Movie Medley,0,The Beatles,['The Beatles'],"[""The Beatles' Movie Medley""]",[None],,,,[None],,
6645,6645,Rok Da House,2945,The Beatmasters featuring The Cookie Crew,"['The Beatmasters featuring The Cookie Crew', 'The Beatmasters ', ' The Cookie Crew']",['Rok Da House'],[None],,,,[None],,
4671,4671,Moeder Mag Ik Trouwen Gaan,2143,The Belcanto's,"[""The Belcanto's""]",['Moeder Mag Ik Trouwen Gaan'],[None],,,,[None],,
5654,5654,Tinsel Town In The Rain,2539,The Blue Nile,['The Blue Nile'],['Tinsel Town In The Rain'],[None],,,,[None],,
2179,2179,Jambalaya (On The Bayou),1087,The Blue Ridge Rangers featuring John C. Fogerty,"['The Blue Ridge Rangers featuring John C. Fogerty', 'The Blue Ridge Rangers ', ' John C. Fogerty']","['Jambalaya (On The Bayou)', 'Jambalaya ', 'On The Bayou', 'Jambalaya On The Bayou']",[None],,,,[None],,
2268,2268,Hearts Of Stone,1087,The Blue Ridge Rangers featuring John C. Fogerty,"['The Blue Ridge Rangers featuring John C. Fogerty', 'The Blue Ridge Rangers ', ' John C. Fogerty']",['Hearts Of Stone'],[None],,,,[None],,
7256,7256,The Brits 1990 - Dance Medley,3223,The Brits 1990,['The Brits 1990'],"['The Brits 1990 - Dance Medley', 'The Brits 1990 ']",[None],,,,[None],,
5408,5408,I Got Rhythm,2396,The Broads,['The Broads'],['I Got Rhythm'],[None],,,,[None],,
8696,8696,Mega Hit Medley Vol. 1,3825,The Captains,['The Captains'],['Mega Hit Medley Vol. 1'],[None],,,,[None],,
1130,1130,Swan Lake,558,The Cats ((GBR)),"['The Cats ((GBR))', 'The Cats ']",['Swan Lake'],[None],,,,[None],,
5187,5187,Rawhide,2346,The Chaps,['The Chaps'],['Rawhide'],[None],,,,[None],,
487,487,Tomorrow,265,The Condors,['The Condors'],['Tomorrow'],[None],,,,[None],,
6598,6598,Females,2924,The Cookie Crew,['The Cookie Crew'],['Females'],[None],,,,[None],,
5481,5481,Swing Is The Thing,2460,The Deep River Quartet,['The Deep River Quartet'],['Swing Is The Thing'],[None],,,,[None],,
2184,2184,Jesus Was Just Alright,1067,The Doobie Brothers,['The Doobie Brothers'],['Jesus Was Just Alright'],[None],,,,[None],,
1487,1487,Flash,764,The Duke Of Burlington,['The Duke Of Burlington'],['Flash'],[None],,,,[None],,
5178,5178,America En Oude Pekela,2279,The Dutch Boys,['The Dutch Boys'],['America En Oude Pekela'],[None],,,,[None],,
2204,2204,Coconut,1097,The Electronic System,['The Electronic System'],['Coconut'],[None],,,,[None],,
1132,1132,A Way Of Life,559,The Family Dogg,['The Family Dogg'],['A Way Of Life'],[None],,,,[None],,
8451,8451,No Matter What U Do (I'm Gonna Get With U),3720,The Flavour,['The Flavour'],"[""No Matter What U Do (I'm Gonna Get With U)"", 'No Matter What U Do ', ""I'm Gonna Get With U"", ""No Matter What U Do I'm Gonna Get With U""]",[None],,,,[None],,
687,687,"Baby, Now That I've Found You",349,The Foundation,['The Foundation'],"[""Baby, Now That I've Found You""]",[None],,,,[None],,
1331,1331,Barbara's Boy,264,The Four Tops,['The Four Tops'],"[""Barbara's Boy""]",[None],,,,[None],,
9299,9299,Feelin' Good,4107,The Frank Cunimondo Trio featuring Lynn Marino,"['The Frank Cunimondo Trio featuring Lynn Marino', 'The Frank Cunimondo Trio ', ' Lynn Marino']","[""Feelin' Good""]",[None],,,,[None],,
845,845,Because I Love You,411,The Free,['The Free'],['Because I Love You'],[None],,,,[None],,
2673,2673,Indian Uprising,1266,The Garnets,['The Garnets'],['Indian Uprising'],[None],,,,[None],,
1675,1675,I'm A Bum,864,The Gloomys,['The Gloomys'],"[""I'm A Bum""]",[None],,,,[None],,
1391,1391,Real Cool World,705,The Greatest Show On Earth,['The Greatest Show On Earth'],['Real Cool World'],[None],,,,[None],,
9507,9507,When I Snap My Fingers...,4221,The Happy Groover (DJ Jonathan),['The Happy Groover (DJ Jonathan)'],['When I Snap My Fingers...'],[None],,,,[None],,
11981,11982,Goeiemoggel!,5453,The Happy Hour Crew,['The Happy Hour Crew'],['Goeiemoggel!'],[None],,,,[None],,
930,930,The Music Box,414,The Hep Stars,['The Hep Stars'],['The Music Box'],[None],,,,[None],,
712,712,Paradise Lost,340,The Herd,['The Herd'],['Paradise Lost'],[None],,,,[None],,
1705,1705,Hey Willie,95,The Hollies,['The Hollies'],['Hey Willie'],[None],,,,[None],,
905,905,Girl Of Independent Means,401,The Honeybus,['The Honeybus'],['Girl Of Independent Means'],[None],,,,[None],,
339,339,Russian Spy And I,195,The Hunters,['The Hunters'],['Russian Spy And I'],[None],,,,[None],,
420,420,Janosh,195,The Hunters,['The Hunters'],['Janosh'],[None],,,,[None],,
3768,3768,Who's Gonna Love You,1737,The Imperials,['The Imperials'],"[""Who's Gonna Love You""]",[None],,,,[None],,
8078,8078,Take Me With You (When You Go),3559,The Jawhawks,['The Jawhawks'],"['Take Me With You (When You Go)', 'Take Me With You ', 'When You Go', 'Take Me With You When You Go']",[None],,,,[None],,
5350,5350,My Boy,2406,The Jodelles,['The Jodelles'],['My Boy'],[None],,,,[None],,
11849,11850,Taste Of Summer,5397,The Jumpmasters,['The Jumpmasters'],['Taste Of Summer'],[None],,,,[None],,
7842,7842,America: What Time Is Love?,3332,The KLF,['The KLF'],['America: What Time Is Love?'],[None],,,,[None],,
9942,9942,Mama,4033,The Kelly Family,['The Kelly Family'],['Mama'],[None],,,,[None],,
1202,1202,Shangrila,14,The Kinks,['The Kinks'],['Shangrila'],[None],,,,[None],,
3186,3186,Pick It Up,1476,The Knack ,['The Knack '],['Pick It Up'],[None],,,,[None],,
2650,2650,Man Of Action,1256,The Les Reed Orchestra,['The Les Reed Orchestra'],['Man Of Action'],[None],,,,[None],,
386,386,I Saw Her Again,192,The Mama's and The Papa's,"[""The Mama's and The Papa's"", ""The Mama's "", "" The Papa's""]",['I Saw Her Again'],[None],,,,[None],,
1520,1520,Girl I've Got News For You,778,The Mardi Gras,['The Mardi Gras'],"[""Girl I've Got News For You""]",[None],,,,[None],,
832,832,Moest Dat Nou,406,The Martino's,"[""The Martino's""]",['Moest Dat Nou'],[None],,,,[None],,
210,210,Hang On Sloopy,131,The Mc Coys,['The Mc Coys'],['Hang On Sloopy'],[None],,,,[None],,
8910,8910,Magic Carpet Ride,3921,The Mighty Dub Kats,['The Mighty Dub Kats'],['Magic Carpet Ride'],[None],,,,[None],,
3892,3892,Tango Motion,1792,The Millionaires,['The Millionaires'],['Tango Motion'],[None],,,,[None],,
4104,4104,The Queen Of Santa Maria,1792,The Millionaires,['The Millionaires'],['The Queen Of Santa Maria'],[None],,,,[None],,
4857,4857,Fantasy Island,1792,The Millionaires,['The Millionaires'],['Fantasy Island'],[None],,,,[None],,
2967,2967,Something,1390,The Miracle Workers,['The Miracle Workers'],['Something'],[None],,,,[None],,
703,703,Day Dream Believer,246,The Monkees,['The Monkees'],['Day Dream Believer'],[None],,,,[None],,
681,681,Tonight Will Be Stoned,71,The Motions,['The Motions'],['Tonight Will Be Stoned'],[None],,,,[None],,
220,220,"Wie, Is Wie, Groot Schandaal In Onze Familie",137,The Mounties,['The Mounties'],"['Wie, Is Wie, Groot Schandaal In Onze Familie']",[None],,,,[None],,
3908,3908,Holland Disco,1802,The New Dutch Organ Group,['The New Dutch Organ Group'],['Holland Disco'],[None],,,,[None],,
2262,2262,Zomertijd-Wintertijd,906,The New Four,['The New Four'],"['Zomertijd-Wintertijd', 'Zomertijd']",[None],,,,[None],,
27,27,Everything's Allright,22,The Newbeats,['The Newbeats'],"[""Everything's Allright""]",[None],,,,[None],,
4249,4249,Tutti Ragazzi,1962,The Nits,['The Nits'],['Tutti Ragazzi'],[None],,,,[None],,
4813,4813,Red Tape,1962,The Nits,['The Nits'],['Red Tape'],[None],,,,[None],,
5159,5159,Nescio,1962,The Nits,['The Nits'],['Nescio'],[None],,,,[None],,
5388,5388,Sketches Of Spain,1962,The Nits,['The Nits'],['Sketches Of Spain'],[None],,,,[None],,
9186,9186,The Love Boat,4046,The Pacific Prince,['The Pacific Prince'],['The Love Boat'],[None],,,,[None],,
2148,2148,"You Came, You Saw, You Conquered",1073,The Pearls,['The Pearls'],"['You Came, You Saw, You Conquered']",[None],,,,[None],,
1479,1479,Tell The World We're Not In,758,The Peddlers,['The Peddlers'],"[""Tell The World We're Not In""]",[None],,,,[None],,
318,318,Juanita Banana,186,The Peels / Het Cocktail Trio met medewerking van Fiet Koster,"['The Peels ', ' Het Cocktail Trio met medewerking van Fiet Koster']",['Juanita Banana'],[None],,,,[None],,
196,196,I'll Go Crazy,120,The Phantoms,['The Phantoms'],"[""I'll Go Crazy""]",[None],,,,[None],,
7602,7602,White Men,3372,The Pilgrims,['The Pilgrims'],['White Men'],[None],,,,[None],,
4006,4006,Turn The Music Up!,1853,The Players Association,['The Players Association'],['Turn The Music Up!'],[None],,,,[None],,
6220,6220,Don't Stand So Close To Me '86,1847,The Police,['The Police'],"[""Don't Stand So Close To Me '86""]",[None],,,,[None],,
267,267,Midnight To Six Men,84,The Pretty Things,['The Pretty Things'],['Midnight To Six Men'],[None],,,,[None],,
92,92,Ode Aan Jim Reeves,68,The Rodeo Riders,['The Rodeo Riders'],['Ode Aan Jim Reeves'],[None],,,,[None],,
73,73,Hello Josephine,58,The Scorpions,['The Scorpions'],['Hello Josephine'],[None],,,,[None],,
122,122,Ann-Louise,58,The Scorpions,['The Scorpions'],"['Ann-Louise', 'Ann']",[None],,,,[None],,
157,157,Greensleeves,58,The Scorpions,['The Scorpions'],['Greensleeves'],[None],,,,[None],,
1842,1842,Voor Jou,941,The Shepherds,['The Shepherds'],['Voor Jou'],[None],,,,[None],,
1301,1301,Bitter Tears,597,The Shuffles,['The Shuffles'],['Bitter Tears'],[None],,,,[None],,
1387,1387,Without You,597,The Shuffles,['The Shuffles'],['Without You'],[None],,,,[None],,
1468,1468,The Way The Music Goes,597,The Shuffles,['The Shuffles'],['The Way The Music Goes'],[None],,,,[None],,
1544,1544,Teardrop On Teardrop,597,The Shuffles,['The Shuffles'],['Teardrop On Teardrop'],[None],,,,[None],,
4145,4145,Worlds Apart,1913,The Sinceros,['The Sinceros'],['Worlds Apart'],[None],,,,[None],,
1087,1087,Mama Soul,541,The Soul Survivers,['The Soul Survivers'],['Mama Soul'],[None],,,,[None],,
9348,9348,Fiesta De Los Tamborileros - The Jaydee Remix,4132,The Sunclub,['The Sunclub'],"['Fiesta De Los Tamborileros - The Jaydee Remix', 'Fiesta De Los Tamborileros ']",[None],,,,[None],,
9449,9449,Single Minded People,4132,The Sunclub,['The Sunclub'],['Single Minded People'],[None],,,,[None],,
9905,9905,Splash,4132,The Sunclub,['The Sunclub'],['Splash'],[None],,,,[None],,
10010,10010,Movin' On,4132,The Sunclub,['The Sunclub'],"[""Movin' On""]",[None],,,,[None],,
10115,10115,Bandoneon,4132,The Sunclub,['The Sunclub'],['Bandoneon'],[None],,,,[None],,
11153,11154,Boom Boom (Good Time),4132,The Sunclub,['The Sunclub'],"['Boom Boom (Good Time)', 'Boom Boom ', 'Good Time', 'Boom Boom Good Time']",[None],,,,[None],,
11285,11286,Jump,4132,The Sunclub,['The Sunclub'],['Jump'],[None],,,,[None],,
11885,11886,Fiesta Reloaded,4132,The Sunclub,['The Sunclub'],['Fiesta Reloaded'],[None],,,,[None],,
4069,4069,Aan De Grens Van De Duitse Heuvelen,1885,The Sunstreams,['The Sunstreams'],['Aan De Grens Van De Duitse Heuvelen'],[None],,,,[None],,
2422,2422,Harlem Song,1165,The Sweepers,['The Sweepers'],['Harlem Song'],[None],,,,[None],,
8441,8441,The Most Beautiful Girl In The World,3716,The Symbol,['The Symbol'],['The Most Beautiful Girl In The World'],[None],,,,[None],,
8871,8871,Eye Hate U,3716,The Symbol,['The Symbol'],['Eye Hate U'],[None],,,,[None],,
9230,9230,Betcha By Golly Wow!,3716,The Symbol,['The Symbol'],['Betcha By Golly Wow!'],[None],,,,[None],,
6742,6742,Doctorin' The Tardis,2998,The Timelords,['The Timelords'],"[""Doctorin' The Tardis""]",[None],,,,[None],,
262,262,As Tears Go By,156,The Torero's,"[""The Torero's""]",['As Tears Go By'],[None],,,,[None],,
3693,3693,New York City,1291,The Trammps,['The Trammps'],['New York City'],[None],,,,[None],,
5532,5532,Move,1291,The Trammps,['The Trammps'],['Move'],[None],,,,[None],,
10936,10937,Saturday Night,4952,The Underdog Project,['The Underdog Project'],['Saturday Night'],[None],,,,[None],,
10986,10987,Winter Jam,4952,The Underdog Project,['The Underdog Project'],['Winter Jam'],[None],,,,[None],,
10828,10829,Summer Jam 2003,4898,The Underdog Project vs. Sunclub,['The Underdog Project vs. Sunclub'],['Summer Jam 2003'],[None],,,,[None],,
6581,6581,Koud Hè,2916,The V-Boys,"['The V-Boys', 'The V', 'Boys']",['Koud Hè'],[None],,,,[None],,
308,308,The Sun Ain't Gonna Shine Any More,180,The Walker Brothers,['The Walker Brothers'],"[""The Sun Ain't Gonna Shine Any More""]",[None],,,,[None],,
3557,3557,Ramona Te Quiero,823,The Walkers,['The Walkers'],['Ramona Te Quiero'],[None],,,,[None],,
6346,6346,Cross That Bridge,2822,The Ward Brothers,['The Ward Brothers'],['Cross That Bridge'],[None],,,,[None],,
6685,6685,Faith,2969,The Wee Papa Girl Rappers,['The Wee Papa Girl Rappers'],['Faith'],[None],,,,[None],,
6920,6920,Soulmate,2969,The Wee Papa Girl Rappers,['The Wee Papa Girl Rappers'],['Soulmate'],[None],,,,[None],,
6774,6774,Heat It Up,3016,The Wee Papa Girl Rappers featuring 2 Men and A Drum Machine,"['The Wee Papa Girl Rappers featuring 2 Men and A Drum Machine', 'The Wee Papa Girl Rappers ', ' 2 Men and A Drum Machine', 'The Wee Papa Girl Rappers featuring 2 Men ', ' A Drum Machine', 'The Wee Papa Girl Rappers featuring 2 M', ' and A Drum Machine']",['Heat It Up'],[None],,,,[None],,
3093,3093,Baby Face,1433,The Wing and A Prayer Fife and Drum Corps,"['The Wing and A Prayer Fife and Drum Corps', 'The Wing ', ' A Prayer Fife ']",['Baby Face'],[None],,,,[None],,
13399,13400,Earned it,6281,TheWeeknd,['TheWeeknd'],['Earned it'],[None],,,,[None],,
1384,1384,Gedeelten Uit Het Radio Wedstrijdverslag Feyenoord Celtic - Finale Europacup 6-5-1970,702,Theo Koomen & Wim Hoogendoorn,"['Theo Koomen & Wim Hoogendoorn', 'Theo Koomen ', ' Wim Hoogendoorn', 'Theo Koom', ' & Wim Hoog']","['Gedeelten Uit Het Radio Wedstrijdverslag Feyenoord Celtic - Finale Europacup 6-5-1970', 'Gedeelten Uit Het Radio Wedstrijdverslag Feyenoord Celtic ']",[None],,,,[None],,
4049,4049,As Long As It's Love,1873,Theo Vaness,['Theo Vaness'],"[""As Long As It's Love""]",[None],,,,[None],,
752,752,Waar Is De Neus Van Toon?,371,Thijs Van Der Molen,"['Thijs Van Der Molen', 'Thijs Van Der Mol', '']",['Waar Is De Neus Van Toon?'],[None],,,,[None],,
4320,4320,Ravel's Bolero ,1998,Thijs Van Leer,['Thijs Van Leer'],"[""Ravel's Bolero ""]",[None],,,,[None],,
1953,1953,Together,988,Think Tank,['Think Tank'],['Together'],[None],,,,[None],,
2725,2725,Geef Ze 'n Kans,295,Thérèse Steinmetz,['Thérèse Steinmetz'],"[""Geef Ze 'n Kans""]",[None],,,,[None],,
3934,3934,Late Night Show,1815,Tiffany,['Tiffany'],['Late Night Show'],[None],,,,[None],,
4218,4218,Presidential Suite,1815,Tiffany,['Tiffany'],['Presidential Suite'],[None],,,,[None],,
5406,5406,Fraction Too Much Friction,2426,Tim Finn,['Tim Finn'],['Fraction Too Much Friction'],[None],,,,[None],,
5479,5479,Through The Years,2426,Tim Finn,['Tim Finn'],['Through The Years'],[None],,,,[None],,
9142,9142,Roze Bril,3975,Tim Immers,['Tim Immers'],['Roze Bril'],[None],,,,[None],,
5941,5941,Dancing On A String,2174,Time Bandits,"['Time Bandits', 'Time B', 'its']",['Dancing On A String'],[None],,,,[None],,
8571,8571,One More Step To Take,3722,Timeless,['Timeless'],['One More Step To Take'],[None],,,,[None],,
5075,5075,M'n Good Old Ducky,2295,Tina Trucker,['Tina Trucker'],"[""M'n Good Old Ducky""]",[None],,,,[None],,
8970,8970,Waardeloos,3942,"Tina, Toos & Tessa","['Tina, Toos & Tessa', 'Tina', ' Toos & Tessa', 'Tina, Toos ', ' Tessa']",['Waardeloos'],[None],,,,[None],,
4954,4954,Lenie Uit De Takkestraat,2248,Tineke Schouten,"['Tineke Schouten', 'Tineke Schout', '']",['Lenie Uit De Takkestraat'],[None],,,,[None],,
5309,5309,"ZzZwiet, Zwiet Honniebie",2248,Tineke Schouten,"['Tineke Schouten', 'Tineke Schout', '']","['ZzZwiet, Zwiet Honniebie']",[None],,,,[None],,
8905,8905,De Babbelende Papegaai,3919,Tineke Schouten als Lady Lachebek,"['Tineke Schouten als Lady Lachebek', 'Tineke Schout', ' als Lady Lachebek']",['De Babbelende Papegaai'],[None],,,,[None],,
6757,6757,Joint Mix,3008,Tolga Flim Flam Balkan,['Tolga Flim Flam Balkan'],['Joint Mix'],[None],,,,[None],,
5422,5422,Listen To The Radio (Atmospherics),2432,Tom Robinson,['Tom Robinson'],"['Listen To The Radio (Atmospherics)', 'Listen To The Radio ', 'Atmospherics', 'Listen To The Radio Atmospherics']",[None],,,,[None],,
6038,6038,Let's Take You Back (To The Good Old Days),2695,Tommies,['Tommies'],"[""Let's Take You Back (To The Good Old Days)"", ""Let's Take You Back "", 'To The Good Old Days', ""Let's Take You Back To The Good Old Days""]",[None],,,,[None],,
2356,2356,Nou Jaap Swart Eindelijk Opsodemietert...,1146,Ton Van Duinhoven als Feyenoord Suppoost Crooswijk,"['Ton Van Duinhoven als Feyenoord Suppoost Crooswijk', 'Ton Van Duinhov', ' als Fey']",['Nou Jaap Swart Eindelijk Opsodemietert...'],[None],,,,[None],,
3094,3094,Mijn Hoempapa,1434,Ton Van Kluyve,['Ton Van Kluyve'],['Mijn Hoempapa'],[None],,,,[None],,
6996,6996,That's How I'm Living,3114,Toni Scott,['Toni Scott'],"[""That's How I'm Living""]",[None],,,,[None],,
2614,2614,Trico-Trico-Tra,1242,Toni y Los Santos,['Toni y Los Santos'],"['Trico-Trico-Tra', 'Trico']",[None],,,,[None],,
997,997,'t Saunabad,460,Tony Bass,['Tony Bass'],"[""'t Saunabad""]",[None],,,,[None],,
1272,1272,Bij Ons Staat Op De Keukendeur 't Is Niet Altijd Rozegeur,460,Tony Bass,['Tony Bass'],"[""Bij Ons Staat Op De Keukendeur 't Is Niet Altijd Rozegeur""]",[None],,,,[None],,
1581,1581,Elisa,460,Tony Bass,['Tony Bass'],['Elisa'],[None],,,,[None],,
1920,1920,Had Ik Jou Maar Nooit Gezien,460,Tony Bass,['Tony Bass'],['Had Ik Jou Maar Nooit Gezien'],[None],,,,[None],,
3090,3090,Holiday,1432,Tony Bravo,['Tony Bravo'],['Holiday'],[None],,,,[None],,
6636,6636,KNMI,2940,Tony Peroni & His All Stars,"['Tony Peroni & His All Stars', 'Tony Peroni ', ' His All Stars']",['KNMI'],[None],,,,[None],,
7600,7600,From Da Soul,3189,Tony Scott,['Tony Scott'],['From Da Soul'],[None],,,,[None],,
7742,7742,Gimme Some (Swing It Baby),3189,Tony Scott,['Tony Scott'],"['Gimme Some (Swing It Baby)', 'Gimme Some ', 'Swing It Baby', 'Gimme Some Swing It Baby']",[None],,,,[None],,
4552,4552,Too Big For Words,2088,Tony Sherman & Julia Loko,"['Tony Sherman & Julia Loko', 'Tony Sherman ', ' Julia Loko']",['Too Big For Words'],[None],,,,[None],,
3131,3131,Smile Baby Smile,1453,Tony Sherman & The Sherman Brothers,"['Tony Sherman & The Sherman Brothers', 'Tony Sherman ', ' The Sherman Brothers']",['Smile Baby Smile'],[None],,,,[None],,
731,731,Mien Waar Is M'n Feestneus?,361,Toon,['Toon'],"[""Mien Waar Is M'n Feestneus?""]",[None],,,,[None],,
1577,1577,"Heb Je Nog Een Bloemetje Voor M'n Knoopsgat, Schat?",809,Toon & Herman,"['Toon & Herman', 'Toon ', ' Herman']","[""Heb Je Nog Een Bloemetje Voor M'n Knoopsgat, Schat?""]",[None],,,,[None],,
985,985,"Kiele, Kiele, Kiele ...",486,Toon Hermans en De Driedonken Blaaskapel,"['Toon Hermans en De Driedonken Blaaskapel', 'Toon Hermans ', ' De Driedonk']","['Kiele, Kiele, Kiele ...']",[None],,,,[None],,
10736,10737,Alles,4852,Tooske Breugem & Bastiaan Ragas,"['Tooske Breugem & Bastiaan Ragas', 'Tooske Breugem ', ' Bastiaan Ragas']",['Alles'],[None],,,,[None],,
6146,6146,Leave It To Luck,2741,Topper Headon,['Topper Headon'],['Leave It To Luck'],[None],,,,[None],,
11553,11554,Jong,5247,Topstars,['Topstars'],['Jong'],[None],,,,[None],,
11639,11640,Met De Sneltrein Naar Zandvoort,5247,Topstars,['Topstars'],['Met De Sneltrein Naar Zandvoort'],[None],,,,[None],,
5968,5968,Takes A Little Time,2662,Total Contrast,['Total Contrast'],['Takes A Little Time'],[None],,,,[None],,
6012,6012,Hit And Run,2662,Total Contrast,['Total Contrast'],['Hit And Run'],[None],,,,[None],,
4794,4794,See You Tonight,2185,Tower,['Tower'],['See You Tonight'],[None],,,,[None],,
4969,4969,Goin' Home,2185,Tower,['Tower'],"[""Goin' Home""]",[None],,,,[None],,
5484,5484,My Guy's Mad At Me,2345,Tracey Ullman,['Tracey Ullman'],"[""My Guy's Mad At Me""]",[None],,,,[None],,
7776,7776,Who The Fuck Is James Brown?,3443,Traumatic Stress,['Traumatic Stress'],['Who The Fuck Is James Brown?'],[None],,,,[None],,
43,43,Ik Vraag 't Aan De Sterren,34,Trea Dobbs,['Trea Dobbs'],"[""Ik Vraag 't Aan De Sterren""]",[None],,,,[None],,
3548,3548,We Love The Pirate Stations,1464,Trinity,['Trinity'],['We Love The Pirate Stations'],[None],,,,[None],,
1406,1406,Annemarie,717,Trio '67,"[""Trio '67""]",['Annemarie'],[None],,,,[None],,
44,44,Ni Nanai,35,Trio Hellenique,"['Trio Hellenique', 'Trio Hell', 'ique']",['Ni Nanai'],[None],,,,[None],,
2925,2925,Somewhere Between,1371,Tumbleweeds,['Tumbleweeds'],['Somewhere Between'],[None],,,,[None],,
3041,3041,It Might As Well Have Rained,1371,Tumbleweeds,['Tumbleweeds'],['It Might As Well Have Rained'],[None],,,,[None],,
3201,3201,Sweet Memories,1371,Tumbleweeds,['Tumbleweeds'],['Sweet Memories'],[None],,,,[None],,
13541,13542,Stressed out,6373,Twentyone Pilots,"['Twentyone Pilots', 'Tw', 'tyone Pilots']",['Stressed out'],[None],,,,[None],,
481,481,True Story,220,Twice As Much,['Twice As Much'],['True Story'],[None],,,,[None],,
10184,10184,A New Day,4564,Twin,['Twin'],['A New Day'],[None],,,,[None],,
12078,12079,De eerste dag (Van de rest van je leven),5510,Twinzz,['Twinzz'],"['De eerste dag (Van de rest van je leven)', 'De eerste dag ', 'Van de rest van je leven', 'De eerste dag Van de rest van je leven']",[None],,,,[None],,
5129,5129,I've Got Mine,2290,UB40,['UB40'],"[""I've Got Mine""]",[None],,,,[None],,
4064,4064,Rendezvous 6:02,1882,UK,['UK'],['Rendezvous 6:02'],[None],,,,[None],,
1062,1062,Let Me Tell Ya,526,UK. Jones,['UK. Jones'],['Let Me Tell Ya'],[None],,,,[None],,
9643,9643,My Lover,4259,Ultimate Kaos,['Ultimate Kaos'],['My Lover'],[None],,,,[None],,
10965,10966,Pretty Green Eyes,4967,Ultra Beat,['Ultra Beat'],['Pretty Green Eyes'],[None],,,,[None],,
8246,8246,I Want You,3639,Usha,['Usha'],['I Want You'],[None],,,,[None],,
8385,8385,Moeder Het Is Weer Mis,3690,V.O.F. De Deurzakkers,['V.O.F. De Deurzakkers'],['Moeder Het Is Weer Mis'],[None],,,,[None],,
9785,9785,When It's My Turn,4359,"VIP Allstars feat. Ray, Strezz, Orpheo","['VIP Allstars feat. Ray, Strezz, Orpheo', 'VIP Allstars ', ' Ray, Strezz, Orpheo', 'VIP Allstars feat. Ray', ' Strezz']","[""When It's My Turn""]",[None],,,,[None],,
4346,4346,Bedankt Piraten,1049,Vader Abraham,['Vader Abraham'],['Bedankt Piraten'],[None],,,,[None],,
4797,4797,In Het Zuiden,1049,Vader Abraham,['Vader Abraham'],['In Het Zuiden'],[None],,,,[None],,
5730,5730,"Brinkman, Minister Brinkman .......",1049,Vader Abraham,['Vader Abraham'],"['Brinkman, Minister Brinkman .......']",[None],,,,[None],,
7197,7197,Op De Deksel Van De Jampot...,1049,Vader Abraham,['Vader Abraham'],['Op De Deksel Van De Jampot...'],[None],,,,[None],,
7812,7812,Vandaag Zal Heel De Wereld Even Anders Zijn,1049,Vader Abraham,['Vader Abraham'],['Vandaag Zal Heel De Wereld Even Anders Zijn'],[None],,,,[None],,
8127,8127,"Mien, Laat De Liefde Aan Me Zien",1049,Vader Abraham,['Vader Abraham'],"['Mien, Laat De Liefde Aan Me Zien']",[None],,,,[None],,
