artistnames,trackName,trackID,albumID,artistIDs,firstNotation,lastNotation,amountOfNotations
['ronny'],Kleine Annabell,55rYhUqW04sNFMZbHy2Bwr,46IV8qi6oXlOXo1U1bhAXA,['1y5d1LmE706jNPVBsE0n0X'],1965,1965,20
['the beatles'],If I Fell - Remastered,7pd4f00gq8Rsg9PBkq8dhD,71Mwd9tntFQYUk4k2DwA0D,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,3
['petula clark'],Down Town,2IzUfd8Dv5wfvLoe8yfpNA,7emxnyckp3TBQ96yWi94kH,['6nKqt1nbSBEq3iUXD1Xgz8'],1965,1965,15
['johnny kendall and the heralds'],Jezebel,3r64bIVws38NHkJzSzQF3Y,1qr6ruFPA1te7OoG5Y3TyR,['50YOyQsxTuQLHiQMsB9Jgq'],1965,1965,1
['the supremes'],Come See About Me - Stereo Version,22dLbMQkxE1cpDpu4VM3zc,3W2FhBKieLAcrS4e9SHtr6,['57bUPid8xztkieZfS7OlEV'],1965,1965,7
['zz en de maskers'],Ik Heb Genoeg Van Jou,4cHu5FO3Par7M6rX05gL6a,3PKUL5wRsKWypZAAWpzMLL,['7k3KkH5Vm4OkbFx6UM1ed0'],1965,1965,6
['trini lopez'],Adalita,3UF6tIuN5bRIE8VVqRkMOW,64M8CUVIPM7bQVOiFa3slD,['5FlTKgucbhHvlJVf0pnvOv'],1965,1965,13
['bobby solo'],Una Lacrima Sul Viso,6Fpx01AIqWKchEQ5M0s7a0,6ESzygL26GaA2DNaG8UHNy,['7GxkHuCxqtPAVnpBTjObpn'],1965,1965,1
['jim reeves'],I Won't Forget You,0y4WLsDFcdhGEiyGrTXwV0,158F4r9awKr4bs7X5E49JA,['2Ev0e8GUIX4u7d9etNLTXg'],1965,1965,2
['jay & the americans'],Come A Little Bit Closer,252YuUdUaC5OojaBU0H1CP,0LMJo3p9QqRjaap3qvlTY6,['0DAqhikcMKLo2lPADVz2fs'],1965,1965,11
['manfred mann'],Sha La La,6TVWJ44dmJbeYb2p1bb6t5,5SeX4bCpwJDIkcwBEWuOa2,['5670CyWrIOA7702gNjsGMZ'],1965,1965,1
['los indios tabajaras'],Maria Elena,5mXz9WHwtBeLhv0zhkinMV,7qrX2GdsS3NmyG4yZbL6SY,['1TKifb1r4wnGbY5CYIwjGb'],1965,1965,6
['the beatles'],I Should Have Known Better - Remastered,49lytSpI9xviTrHs0OhYIo,71Mwd9tntFQYUk4k2DwA0D,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,1
['gene pitney'],I'm Gonna Be Strong,5SG4cYB4PqLNTQMa7C5pPT,1cyeTTBDkCA6lqSXwwJMJ6,['3ap1NzHNV9QA1x1V6z3gSe'],1965,1965,5
['freddie & the dreamers'],I Understand (Just How You Feel),2cqBR0FuG3DWjwnurXUFdK,3AGQsHZR1s4bXnQeSxIxhQ,['1wCc2Wgga1H8C7u57pcqYk'],1965,1965,1
['rocco granata'],Noordzeestrand,5b3hV6LfcYE35dFkgStKxH,1jkFr7I2ZOrC5GeVJKGuZd,['2VhQDTCxA5WBYclo7t7UcI'],1965,1965,9
['the drifters'],Saturday Night At The Movies - Remastered Single/LP Version,2oJaCsDjCujzOL75Oi3KaS,4P2Ydg6ObtLrn99a7l3wsO,['1FqqOl9itIUpXr4jZPIVoT'],1965,1965,7
['the shadows'],Genie With The Light Brown Lamp - 1995 Remastered Version,0IuibArSm6qx3b2LxbJUmm,2boc1c2fe79eGVODNidGNC,['03hfAxVdAWj7kxDnSG0fLD'],1965,1965,4
['bob & lucille'],Crazy Arms,2OW0NaUJzKWuj1t1TF1V1Z,4bro7jqb3ZMNPqIZCeCdga,['0fyyKYpxUKaG1piwKxHjeV'],1965,1965,21
['chubby checker'],"Lovely, Lovely (Loverly, Loverly)",2zs6PnrBK2FscVOiGX0d1O,4cQ7D6QMs9w7ayf5Dycc2T,['7qQJQ3YtcGlqaLg5tcypN2'],1965,1965,18
['salvatore adamo'],Les filles du bord de mer,0cgiajsINixTKvztzeZGvk,0iptDBG98BUELZzglvwUSc,['37r3ZUhErh0QPJENMsAPBG'],1965,1965,15
['the newbeats'],Bread and Butter,4RJi2cYNOxfklHZZ7foR2y,06q9kt4UZs8dqyMOt4BuJK,['6LK7EEHFApe9FZbFRFyBDN'],1965,1965,1
['wim sonneveld'],"Frater Venantius - Live In Nieuwe De La Mar, Amsterdam / 1964",7nnjpu2Cbh9DUdSSp8hFJA,3Loxvfv6tOPhOoQBmLBrDI,['6PeXy9NJcXE6CUH12YsboM'],1965,1965,15
['sandie shaw'],Girl Don't Come - 2004 Remastered Version,1lcda1JopEv5CVVHmLz2ZO,26CGf6BwICc6rudK6QJc69,['5uxkcHbgyNbyzq1nyChvCa'],1965,1965,1
['the searchers'],What Have They Done To The Rain,2nWOcN5UJASzQQ4Ua7FCv3,4scxxvgUeBKlneNROhJK4f,['4QmkLL9JOqM9dusHS1Hghe'],1965,1965,9
['gert & hermien'],De Schommelstoel,6ksGt7P2fADVa2x3DgIJRE,4VHhNQVqZt8m7hZ7PeBmkx,['40JZ4PcqTsMqvVWLi0OaOP'],1965,1965,12
['p.j. proby'],Somewhere,5lz5nAO1HA7nntRU5k0IzH,3AsA1h6kQvqdnfaC1lu8Tx,['3g4Os4LNZvOQUaokeSLCwG'],1965,1965,2
['sounds orchestral'],Cast Your Fate to the Wind,38KTIenSEnoGNGLUrYdFLV,0sJFM46QZlwzO4y3dvyJsI,['0uPfErG0KkEmtYg4y3O7LC'],1965,1965,12
['trini lopez'],Lemon Tree,4VU6RQBoryrzDh9YSFT7rz,6sqgLarpeEv9Zw8xTbWgn4,['5FlTKgucbhHvlJVf0pnvOv'],1965,1965,8
['ronnie tober'],Iedere Avond,27K4ItIdSmWm9VKiteM5m2,6588JMhX6PqxYEo5k0Uqg3,['7AHlsFyu6r8OVqezmQRbhm'],1965,1965,15
['drafi deutscher'],Cinderella-Baby,2ZIuoecgzGGVNJoeC57YVZ,2YzyWrlcyNyPNLT7xsvUKH,['3AzUhAlIf00iaylhLVwszM'],1965,1965,5
['bernd spier'],Das war mein schönster Tanz mit dir,2BHfvwa7gxhN7h0rxQMubR,6abYTja9pOQzvciyi2mKzy,['3ETVnHWBc9elqJj6VBPVmW'],1965,1965,9
['siw malmkvist'],Küsse Nie Nach Mitternacht,7sh5oYwMO2E4xFHAbZZUfL,5jVBh4qTcB9zR4s2Yc1md2,['2VWX6ZalDVTp1KMGN6JDSl'],1965,1965,1
"['johnny', 'mary']",De Voddenraper Van Parijs,6vVpx5ax8Wow3TWB1yugA4,1Kd0X73jNTS1GSjzjvaF8F,"['00ejjVUpGffGIuYA51u6UQ', '1lqXV3UkLGGY3eqM8WL8mN']",1965,1965,1
['the beatles'],Eight Days A Week - Remastered,2B3ArhTa6DRox1W4CJZ1dM,7BgGBZndAvDlKOcwe5rscZ,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,17
['cilla black'],You've Lost That Lovin' Feelin - Remastered,3wBa4fHWZMT9tLVPE7Cc1n,6uqA3ZXd6grcVZc5HLtaqw,['3bCvHtuIXWXPbCMdSYudmZ'],1965,1965,15
['rein de vries'],Patsy,0GJX7vXqS15TlMaNR2myR6,5v4ZgunI2ScuGPuTOv90xK,['6LO5LYNzTWhGB8xImFocbQ'],1965,1965,17
['del shannon'],Keep Searchin' (We'll Follow The Sun),6IW5U4H5EkzznI0fCWlbzR,2g6zIUb6GvP0k5KtLpWOEQ,['3c8WoNjBfyLJhFObE6RHgs'],1965,1965,6
['the moody blues'],Go Now,3GNmeBVXMHS3pnNfRabxod,10ilfLRzXiF7M4ZTVvPyob,['5BcZ22XONcRoLhTbZRuME1'],1965,1965,18
['the kinks'],Tired of Waiting for You,0gDHo7nkUC3846vefhHJcE,5JzAXMEtvBUC4qctJtwzhk,['1SQRv42e4PjEYfPhS0Tk9E'],1965,1965,8
['ronnie tober'],Geweldig,6xWkRiAgGkUz76go2HjcJ0,5v4ZgunI2ScuGPuTOv90xK,['7AHlsFyu6r8OVqezmQRbhm'],1965,1965,5
['roy orbison'],Goodnight,3HlxOnjQlJGo4djBCPM3UV,5k4v31nuJEnFwBTUjlPMn9,['0JDkhL4rjiPNEp92jAgJnS'],1965,1965,18
['trea dobbs'],De Ploem-Ploem Jenka,4fZnBFGXhusQwxSGRyl1GY,5v4ZgunI2ScuGPuTOv90xK,['4F3c2IiCJy6mhP4EHQVDEe'],1965,1965,15
['the seekers'],I'll Never Find Another You,6Ln9F9lZNMgV5Ht87z9Bd0,2bhcZbOcrAFH69kD3TLFB0,['7dedWAqd0IKTdCiqiadUrV'],1965,1965,7
['jewel akens'],The Birds And The Bees,4VRBVIN8KRP1HhMhJPpc5s,5yQ2c4oT95UQRxV7J9n3gO,['1gVvCzqQy5epTJcFNwWJ37'],1965,1965,24
['the rolling stones'],The Last Time - Remastered 2002,3qmCgBccHyC7e3IBvS9byq,24V2ghp7XhGZzWKjthHq4v,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,19
['vic dana'],Red Roses For A Blue Lady,2U8i316GHJMluI42xqbThK,2Ta8HF3UYsHmHQ7BfUKc5m,['26LmRGHptm85F27BZwOSt7'],1965,1965,13
['the beatles'],No Reply - Remastered,009oOX7tpCPLzRL9AFiBS8,7BgGBZndAvDlKOcwe5rscZ,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,21
['dean martin'],Send Me the Pillow You Dream On,7hyuFoept7slNptV126UwW,3bCD76GPTntFdGOT6KXgO3,['49e4v89VmlDcFCMyDv9wQ9'],1965,1965,6
['the animals'],Don't Let Me Be Misunderstood,0V1hBXTdYOWv3N2FVzG3OM,5PPJARZ9TyE48ABZFD8Eua,['3ICflSq6ZgYAIrm2CTkfVP'],1965,1965,8
['the rolling stones'],Heart Of Stone - Stereo Version / Remastered 2002,0E6LkjKMDd3oLQOsVBLO9H,6CNXUyFKuhAjKIDsV3m6kZ,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,16
['the searchers'],Goodbye My Love - Mono Version,0ISi0rFiU16DwyRsb5NUNL,1gF4ml2DXle5NckyKV2aBD,['4QmkLL9JOqM9dusHS1Hghe'],1965,1965,17
['france gall'],"Poupée de cire, poupée de son",7i4WaTC7Xp6SY49aCdcVia,4jEkUenMPRi7yNLqyRhF0u,['22HVxZPA6UhBp8wahxDA6I'],1965,1965,15
['adamo'],La nuit,0wsmye8i8wpjajZvOktHq6,6BbnudpBxhrGGLTHfc3nC0,['26ycUCO6mpGAZPw9yHzhon'],1965,1965,9
['elvis presley'],Do the Clam,2DdtOIqWNDcrPEDAJv0VFe,4z27tEwwMNEILdVX1Sy40L,['43ZHCT0cAZBISjO8DG9PnE'],1965,1965,5
['cliff richard'],The Minute You're Gone,4xxYbkl51ckZoZOxHqkdyO,0SW33rIKZ2v0EmfqRLKufz,['2nvKpWcP8etYTq4JrRiUiy'],1965,1965,9
['p.j. proby'],I Apologise,5JuBL9tujDeie2we9hO5Ro,4IErnFLC52fCcXfb191qRw,['3g4Os4LNZvOQUaokeSLCwG'],1965,1965,1
['the supremes'],Stop! In The Name Of Love,2Po67bkabDRE2BcquBNdu1,5HaTAMemKeNCoA9fXIi7nw,['57bUPid8xztkieZfS7OlEV'],1965,1965,12
['the motions'],It's Gone,1UMUuPuWJ3IeLlO18V5Dkj,2Tn9pEtYTYHvx2BecQWpPw,['49V5We9hFUlL8U4jQ8XOJV'],1965,1965,1
['tom jones'],It's Not Unusual,67csrS6po7IyXfwds4azjr,4qhk3MMtFC8V29bUn9GB5g,['1T0wRBO0CK0vK8ouUMqEl5'],1965,1965,3
['guy mardel'],N'avoue Jamais,1vPCbI7QPZtU6T42uaeP8w,1atBdA3FXEvIhU19tXbIqD,['7AeNQueeNvOLDKYylJPaB0'],1965,1965,9
['the beatles'],Ticket To Ride - Remastered,2zO5cQdHLBOPlnQqWeNCFM,19K3IHYeVkUTjcBHGfbCOi,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,18
['het cocktail trio'],Het Vlooiencircus,21OAtH4eqrlrjF61I0MNQh,3olYePqSyCQeR2jvXwKhiD,['4utchSczIK6dlfPDkpVn9w'],1965,1965,11
['shirley bassey'],Goldfinger,6zN3LVBPT53FOZ3JsmbwEZ,2BLQ9dfPLmc8qrofJ0j73i,['090VebphoycdEyH165iMqc'],1965,1965,15
['willeke alberti'],Vanavond Om Kwart Over Zes Ben Ik Vrij,61D60xl8OUaRRmsQoexzAR,4oGOyj6OKbdClBPXjyePzl,['7monj8DXxygyUqgx7ncylV'],1965,1965,15
['the kinks'],Ev'rybody's Gonna Be Happy,127PMKhiL3xwzu3J2qeWn6,5JzAXMEtvBUC4qctJtwzhk,['1SQRv42e4PjEYfPhS0Tk9E'],1965,1965,3
['bobby solo'],Se Piangi Se Ridi,3KFtTMzhe5hVTfMur4osaL,6ESzygL26GaA2DNaG8UHNy,['7GxkHuCxqtPAVnpBTjObpn'],1965,1965,2
['unit 4 + 2'],Concrete and Clay,6HVqfeID7hG2vx36HFlLZC,2SriskhysU98r8NWcEmjq6,['3bCvxrKMwOERTpNxO2jm9h'],1965,1965,8
['bob & lucille'],Jolie Jacqueline,68S4jRohXseJULqFrA8aTm,4bro7jqb3ZMNPqIZCeCdga,['0fyyKYpxUKaG1piwKxHjeV'],1965,1965,10
['the everly brothers'],That'll Be the Day - Remastered Version,76yID3GskDyGlv2uSUjRpl,7yaWXv35pnjLWztSeRECVe,['4ACplpEqD6JIVgKrafauzs'],1965,1965,13
['the yardbirds'],For Your Love,5bC4y9Zhn6ng0MOzACCHkc,0lYmtEuL0fLXPP4XKr5O8K,['2lxX1ivRYp26soIavdG9bX'],1965,1965,6
['the animals'],Bring It On Home to Me,7G7pOhH50ZWkcl0BhmJdqw,7FDy2xgipAapbf3bRA8Vuv,['3ICflSq6ZgYAIrm2CTkfVP'],1965,1965,15
['the searchers'],Bumble Bee - Mono Version,16HrfeIFAE98VAXV4WdjPg,1gF4ml2DXle5NckyKV2aBD,['4QmkLL9JOqM9dusHS1Hghe'],1965,1965,6
['donovan'],Catch the Wind,7cyOTirNS1rXygPulz9WR3,54SKivSZGPzkNUcEaHANtV,['6vLlQYujOujIrm7zAKzEdG'],1965,1965,7
['peter and gordon'],True Love Ways,2fGe1krTxovW7xsgiaHkrN,2Eabt9Pi7zWreJJxcNkIw6,['6lHC2EQMEMZiEmSfFloarn'],1965,1965,9
['roger miller'],King Of The Road - Re-Recorded In Stereo,36Ew5C2l5r1GAZifRhp4YG,268N6QJQm0WSKVO99vKGjt,['1RP2UpEaRzkF0Id3JigqD8'],1965,1965,9
['the seekers'],A World Of Our Own,1DVTwlo4nWm41i91rN4xqh,3vMmPXoijRRhpE9lPpUyq4,['7dedWAqd0IKTdCiqiadUrV'],1965,1965,8
['chubby checker'],Let's Do The Freddie,5UmxkHu1XuFUlqpRjgg8pT,7a52DjpMjaSIDW4ict0O2e,['7qQJQ3YtcGlqaLg5tcypN2'],1965,1965,1
['adamo'],Elle...,0tcjsZ8XL6zQvEqwXWu4jX,5t4xnf0jXoBw01E2EVz8dA,['26ycUCO6mpGAZPw9yHzhon'],1965,1965,6
['bob dylan'],Subterranean Homesick Blues,6k9DUKMJpWvu6eFG3O64Lg,1lPoRKSgZHQAYXxzBsOQ7v,['74ASZWbe4lXaubB36ztrGX'],1965,1965,9
['the pretty things'],"Road Runner (Mono Version) [Live at the BBC - Pretty Things Sessions - Saturday Club, 10/1964] - Remastered",6ONmtaVw3z9t4Zh2w4punC,3PcWxL1dlFBkAAzXbfvFsD,['5U16QlMnlSAhkQxBZpLyLO'],1965,1965,17
['sam the sham & the pharaohs'],Wooly Bully,2XkuSbp5say8nZW8g6156Z,3tpJtzZm4Urb0n2ITN5mwF,['05sRO4JdAtJGyZQOTb6kSL'],1965,1965,23
['sandie shaw'],Long Live Love,03nh0CNokqc24Dz8MawYJ3,26CGf6BwICc6rudK6QJc69,['5uxkcHbgyNbyzq1nyChvCa'],1965,1965,11
['mikis theodorakis'],La Danse De Zorba,6zkYyYfr1wx6GjDjEMBlfk,1g1hyOCZnF3tZGjwjqInhf,['58EvYFzDGAQOmBpIOxujnj'],1965,1965,40
['tony bass'],Dat Is T Einde (Das Kommt Vom Rudern Das Kommt Vom Segeln),6Kh5euxxgANHcC4lk1w2Ca,5v4ZgunI2ScuGPuTOv90xK,['5JK9VxvY6IT6xRJyYjy6Fe'],1965,1965,22
['the everly brothers'],The Price Of Love - Single Version 2006 Remastered Version,2o3g4FdKS1oDt4WIc1wDuw,7suOvu4ppoFddBOxpYkf2d,['4ACplpEqD6JIVgKrafauzs'],1965,1965,11
['elvis presley'],Crying In the Chapel,1Vzr9AOdHw65UHoK1Vuxls,0QVoYzGd1p8Z3ohEaM0lsc,['43ZHCT0cAZBISjO8DG9PnE'],1965,1965,11
['nini rosso'],Il Silenzio,6EMPM69ycV2hiKsDxbbvDe,5X8NWRVgpAQ82Mfr1hOKk0,['47G3Mhbcof3h68FRvovd3H'],1965,1965,35
['the kinks'],Set Me Free,2ttsaJ52fkJmLbPZCnrIrW,5JzAXMEtvBUC4qctJtwzhk,['1SQRv42e4PjEYfPhS0Tk9E'],1965,1965,10
"[""herman's hermits""]",Mrs Brown You've Got A Lovely Daughter,4YumtAvz1IPEvC75o7stw8,6HebnAKH72JonslBd1cMnb,['48YxSlb23RAaCd4RyHcV9V'],1965,1965,5
['the beach boys'],"Help Me, Rhonda",3haZcHm3HydDVxm3je3Zmg,13f845bYjx8MUVF2bl1uJ0,['3oDbviiivRWhXwIE8hxkVV'],1965,1965,7
['the byrds'],Mr. Tambourine Man,2HCaIYjkvWSZzaSKUoOh3d,0pkrqPjeq9K5KD0hFqAKNa,['1PCZpxHJz7WAMF8EEq8bfc'],1965,1965,19
['donovan'],Colours,4Q6jlf64hZpS0fnrl1b10J,54SKivSZGPzkNUcEaHANtV,['6vLlQYujOujIrm7zAKzEdG'],1965,1965,16
['ronny'],Darling Good Night,05dRdylQO8eoR9pGjxso7e,34LnNj7h77Uv5WNnDveUdX,['1y5d1LmE706jNPVBsE0n0X'],1965,1965,4
['cliff richard'],On My Word,0erBl6JD3AeLeVBsS5gGek,5rBLufvQdXkIsw7RObbgk5,['2nvKpWcP8etYTq4JrRiUiy'],1965,1965,9
['the rolling stones'],Under My Thumb - Live,4tLhDH3WLDWQ57R1onMdIg,65tNwKXcpCPfx875xSTAAN,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,8
['ronnie tober'],Verboden Vruchten,0TEPhSQinwMvtmwoyW807s,39BzI7vL8N9czgVxsstZO3,['7AHlsFyu6r8OVqezmQRbhm'],1965,1965,1
['the hollies'],I'm Alive,5KnoGzqktzPxHC38VQgWha,5ourevL93kFzjWH6lIyT42,['6waa8mKu91GjzD4NlONlNJ'],1965,1965,9
['peggy march'],Mit 17 hat man noch Träume,4TA8Rb2TOfmXqLRL5JCIGD,5xo3WFJjWDbxoBHIW1gbBT,['5EVZqrbIyEYGGite2sMhDk'],1965,1965,8
['the who'],"Anyway, Anyhow, Anywhere - Mono Version",2NrqSZ2W6psPDofrVVsdp8,20RWKGv69hDICPyb2j1RvN,['67ea9eGLXYMsO2eYQRui3w'],1965,1965,4
['freddy quinn'],5000 Meilen von zu haus,5MGwsE3oxsd8J0MmQVNhHF,48ARZZrMQkP4W7kGOoWr2T,['18mGtkaRoIjbOaGT1rykKP'],1965,1965,4
['gene pitney'],Looking Thru the Eyes of Love,24SBSzZmlQRaA5SVyzp9yr,1BT3FN3H1O7OvojOVmVMxK,['3ap1NzHNV9QA1x1V6z3gSe'],1965,1965,2
['jay & the americans'],"Cara, Mia",0Arrnl9EB7LtzPISpNBQQf,0LMJo3p9QqRjaap3qvlTY6,['0DAqhikcMKLo2lPADVz2fs'],1965,1965,15
['roy orbison'],(Say) You're My Girl,0rmo2z33HYChd2acGpwVOG,5k4v31nuJEnFwBTUjlPMn9,['0JDkhL4rjiPNEp92jAgJnS'],1965,1965,14
['the searchers'],I Don't Want to Go On Without You - Mono Version,0ffChmfi9hotwwC2ZwMVfT,1gF4ml2DXle5NckyKV2aBD,['4QmkLL9JOqM9dusHS1Hghe'],1965,1965,9
['vic dana'],Bring A Little Sunshine - To My Heart,7dHlQJqO7UWa9E2Vm9Z5S0,2Ta8HF3UYsHmHQ7BfUKc5m,['26LmRGHptm85F27BZwOSt7'],1965,1965,5
['the pretty things'],Cry To Me,01SvVpoIcNUvN8Fp90Xsud,7uj8Fy1hK26raJLQMUG6pv,['5U16QlMnlSAhkQxBZpLyLO'],1965,1965,10
['johnny lion'],Sophietje,67Wkfb6aX9bgRDAUxKDMEd,39BzI7vL8N9czgVxsstZO3,['1koB5QKbeDr0AJP50bmpLb'],1965,1965,22
['the beatles'],Help! - Remastered,5ou2BiQ9FxIYkxsYvYHpAT,19K3IHYeVkUTjcBHGfbCOi,['3WrFJ7ztbogyGnTHbHJFl2'],1965,1965,24
['peter and gordon'],To Know You Is to Love You,0s7JK7h4rlpAYG0pEJC9Ow,2Eabt9Pi7zWreJJxcNkIw6,['6lHC2EQMEMZiEmSfFloarn'],1965,1965,7
['dave berry'],This Strange Effect,4YmOc3Vwnm9fOsnDWiK2qy,7iNjhLttP6e64PUEy0D4aW,['0wPdF6oU9sRm16BNvWfyRR'],1965,1965,35
['the ivy league'],Tossing and Turning - Single Version,5q8U2NsIc57QWjY7MZi371,2az5dndJY9c0T503PIIyU5,['4xzeOvWTraQHZgxOgpz59N'],1965,1965,10
['the yardbirds'],Heart Full of Soul,0AiuEo7FCxP2y2WTOpLPe5,0lYmtEuL0fLXPP4XKr5O8K,['2lxX1ivRYp26soIavdG9bX'],1965,1965,6
['willeke alberti'],Talisman,1OJY5B4vKuOgZkmt8qOHeH,4oGOyj6OKbdClBPXjyePzl,['7monj8DXxygyUqgx7ncylV'],1965,1965,1
['elvis presley'],(Such An) Easy Question,1EQM2dzVfURV0WklqRK4rV,2g4kvBYEZoUaO5rMmR4CJI,['43ZHCT0cAZBISjO8DG9PnE'],1965,1965,2
['the guess who'],Shakin' All Over - Single Version,58cDx1uTmaAaF2rqU0UrtF,3S0M6vf4qXcg38cRrjFUSG,['0cQuYRSzlItquYxsQKDvVc'],1965,1965,5
['the rolling stones'],(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,7fSGbZLhWlAiCC3HDPAULu,24V2ghp7XhGZzWKjthHq4v,['22bE4uQ6baNwSHPVcDxLCe'],1965,1965,30
['the fortunes'],You've Got Your Troubles - Re-Recording,4h1PYaqQbkxUQT0la30SMz,4W8g6Vy2zMXccek6enKfLR,['4GpIeE34rBNFppvYsWle9c'],1965,1965,31
['the searchers'],He's Got No Love,5P3qlhlQnyPzwZRVzdL4l4,7KBVP5qrxpkgQqdi3LBRTO,['4QmkLL9JOqM9dusHS1Hghe'],1965,1965,13
['the everly brothers'],I'll Never Get Over You - Remastered Version,1LLRDElWPw0p4ZLgHBQy8Y,34qkdcAD4e7fADTTE31lhq,['4ACplpEqD6JIVgKrafauzs'],1965,1965,6
['tom jones'],What's New Pussycat?,2HkHE4EeZyx9AncSN042q3,6P2ZHmM24HL5VOPGWQJgGP,['1T0wRBO0CK0vK8ouUMqEl5'],1965,1965,12
['sam the sham & the pharaohs'],Ju Ju Hand,6hVyDEqxmtOgQuVfTvgnee,7sZlvnsiAKTaS3iKOZAyyU,['05sRO4JdAtJGyZQOTb6kSL'],1965,1965,6
['the animals'],We've Gotta Get Out of This Place,48t1ooCntbAzQW4HVGofkc,7oAWqSPWeuz7DInMBu6IzF,['3ICflSq6ZgYAIrm2CTkfVP'],1965,1965,8
['bob dylan'],Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,6YabPKtZAjxwyWbuO9p4ZD,['74ASZWbe4lXaubB36ztrGX'],1965,1965,12
['the byrds'],All I Really Want to Do,1MI0O2mwTpdwkZpfWz4J7o,0pkrqPjeq9K5KD0hFqAKNa,['1PCZpxHJz7WAMF8EEq8bfc'],1965,1965,10
